state,month,year,rainfall_mm,pH,turbidity_NTU,dissolved_oxygen_mg_L,total_coliform_MPN,water_temp_C,risk_level,risk_score,primary_disease
Mizoram,March,2021,0.0,6.9,2.75,7.25,104,23.64,low,22.47,Dysentery
Tripura,August,2021,394.7,6.06,12.15,9.07,429,24.13,severe,94.4,Hepatitis A
Himachal Pradesh,October,2024,63.5,7.98,4.17,8.07,95,28.73,moderate,32.01,None
Karnataka,April,2023,31.2,7.54,3.23,6.69,95,27.61,moderate,31.71,None
West Bengal,November,2022,109.5,7.17,3.92,8.62,145,21.65,low,24.86,Hepatitis A
Bihar,December,2023,67.6,6.82,3.66,8.1,170,21.99,moderate,27.11,None
Manipur,July,2023,280.1,6.51,6.4,7.24,354,27.35,high,60.58,Cholera
Arunachal Pradesh,December,2024,107.5,6.44,2.55,8.75,104,24.03,low,23.11,None
Meghalaya,January,2024,103.0,6.84,0.5,8.35,96,15.0,low,12.2,None
Punjab,December,2022,53.9,7.02,3.97,8.53,94,19.81,low,17.54,None
Sikkim,October,2021,25.1,8.45,3.29,5.82,92,23.02,moderate,42.69,None
West Bengal,October,2021,214.2,7.03,8.28,7.14,350,26.31,high,59.32,None
Bihar,September,2021,323.7,6.55,2.84,5.83,819,20.3,severe,123.7,Cholera
Goa,November,2022,17.6,6.74,5.89,11.51,107,19.0,moderate,25.08,None
Uttar Pradesh,June,2023,392.1,6.93,17.37,7.26,801,31.07,severe,149.73,Cholera
Gujarat,March,2020,10.3,8.18,2.26,9.06,97,18.99,moderate,26.02,None
Telangana,June,2023,377.5,8.12,8.6,7.07,436,29.44,severe,97.64,Giardiasis
Nagaland,September,2022,255.7,6.44,8.54,9.83,342,22.56,high,58.16,Typhoid Fever
Haryana,April,2020,31.0,6.52,6.99,5.62,119,29.08,moderate,47.12,None
Goa,March,2021,50.9,7.57,1.73,8.8,108,24.91,low,22.42,Hepatitis A
Goa,September,2020,331.8,7.12,13.41,8.5,400,22.71,severe,83.25,None
Punjab,January,2023,32.9,6.74,7.09,6.43,102,20.59,moderate,35.12,Dysentery
Tamil Nadu,August,2024,370.0,7.38,15.02,5.29,448,28.07,severe,115.47,Dysentery
Uttarakhand,November,2023,71.1,6.85,3.23,5.53,98,20.83,moderate,30.53,Giardiasis
Jharkhand,June,2021,412.3,6.39,11.63,7.54,492,27.38,severe,101.46,Cholera
Mizoram,September,2024,276.1,6.25,9.51,7.93,357,22.94,high,64.04,Giardiasis
Karnataka,May,2023,17.3,6.36,3.63,5.74,96,28.24,moderate,38.68,None
Rajasthan,December,2023,100.3,8.29,7.89,5.76,98,15.9,moderate,49.68,Hepatitis A
Assam,April,2022,43.2,6.6,5.87,6.96,109,28.9,moderate,36.29,None
Uttar Pradesh,January,2021,27.0,6.7,8.41,6.23,192,19.13,moderate,47.87,Dysentery
Maharashtra,September,2024,303.5,7.29,10.91,7.08,387,21.79,severe,82.7,Hepatitis A
Tripura,February,2023,44.0,6.95,4.27,6.65,101,19.69,moderate,25.89,Typhoid Fever
Karnataka,December,2022,128.0,7.78,7.33,7.67,95,20.97,moderate,34.09,None
Himachal Pradesh,February,2021,78.7,7.19,2.9,7.42,96,22.02,low,21.21,None
Jharkhand,November,2022,178.7,7.31,4.78,9.71,84,20.06,low,21.09,Cholera
Mizoram,November,2020,77.3,7.0,1.75,6.93,92,18.95,low,18.05,None
Uttar Pradesh,February,2023,22.4,6.89,5.51,6.53,183,15.0,moderate,37.77,None
Haryana,December,2021,116.6,7.54,6.25,7.22,104,19.34,moderate,32.2,None
Gujarat,June,2022,211.5,7.65,6.65,7.9,298,25.53,high,52.87,None
Jharkhand,January,2022,29.0,7.52,2.77,5.13,91,19.67,moderate,34.19,None
Assam,September,2022,438.9,6.08,12.02,7.44,489,25.73,severe,105.37,Hepatitis A
Haryana,May,2021,42.5,8.1,3.99,7.15,98,24.56,moderate,35.31,Giardiasis
Bihar,November,2022,131.3,6.98,8.6,5.34,184,24.03,high,51.11,Hepatitis A
Tripura,November,2022,231.7,7.03,7.15,8.61,211,22.7,moderate,37.05,None
Mizoram,April,2022,35.0,6.47,5.88,8.2,109,30.99,moderate,33.45,Cholera
Jharkhand,November,2022,84.7,7.25,3.75,7.15,103,21.71,moderate,25.41,None
West Bengal,June,2020,285.7,6.27,7.38,7.19,578,28.57,severe,88.19,Cholera
Sikkim,September,2020,289.6,6.53,11.08,8.1,369,21.62,high,64.57,None
Himachal Pradesh,July,2021,187.5,7.33,1.71,5.97,142,24.6,moderate,33.37,None
Uttarakhand,March,2024,8.0,5.78,4.92,5.74,105,28.42,moderate,48.05,Typhoid Fever
Haryana,February,2021,26.2,7.28,1.11,7.13,124,18.59,low,21.77,None
Karnataka,April,2024,16.2,7.5,6.66,4.32,107,24.82,moderate,49.83,None
Nagaland,May,2022,4.9,6.77,3.23,5.64,106,23.73,moderate,33.03,Cholera
Uttarakhand,July,2021,234.6,7.92,12.08,6.78,313,20.07,high,70.8,Hepatitis A
Arunachal Pradesh,October,2022,113.9,7.76,5.55,6.42,99,24.49,moderate,38.74,None
Kerala,February,2022,4.3,6.44,3.53,5.75,97,19.34,moderate,33.61,None
Andhra Pradesh,July,2024,284.6,6.75,2.94,7.33,357,27.88,high,51.37,None
Chhattisgarh,January,2022,40.9,7.45,3.88,8.02,94,16.29,low,21.66,Typhoid Fever
West Bengal,July,2021,302.0,7.12,10.66,6.55,604,28.37,severe,113.23,Dysentery
Odisha,December,2024,149.7,6.16,10.24,6.36,94,16.19,moderate,46.48,Dysentery
Uttarakhand,August,2024,275.6,7.66,8.02,8.04,351,25.15,high,60.31,Dysentery
Madhya Pradesh,October,2021,97.0,7.18,6.21,9.0,127,22.53,moderate,28.18,None
Gujarat,October,2021,7.3,7.58,1.47,5.71,108,18.61,moderate,30.99,None
Haryana,March,2022,42.2,7.87,8.88,5.08,85,22.56,high,50.84,Dysentery
Haryana,May,2020,52.5,7.61,3.33,5.93,113,31.9,moderate,40.36,None
Gujarat,June,2020,244.8,7.73,4.22,7.23,336,24.74,high,55.56,None
Madhya Pradesh,January,2020,45.0,7.24,5.13,6.11,147,20.38,moderate,37.0,None
Chhattisgarh,September,2021,372.0,6.39,10.97,9.34,448,25.27,severe,90.57,None
Telangana,December,2020,55.2,7.05,3.58,6.0,106,19.96,moderate,28.26,Hepatitis A
Gujarat,September,2020,275.5,7.24,7.0,3.95,339,25.48,high,73.29,Cholera
Odisha,July,2023,122.1,7.57,11.28,6.28,132,24.93,high,52.52,Dysentery
Manipur,November,2023,227.8,6.64,5.77,7.24,228,18.71,moderate,41.74,Typhoid Fever
Telangana,March,2023,53.1,7.64,2.07,11.28,101,26.56,low,23.92,None
Arunachal Pradesh,July,2023,227.1,6.36,8.58,7.6,297,25.32,high,57.92,Dysentery
Rajasthan,April,2021,10.7,6.92,1.33,5.53,89,34.91,moderate,32.16,None
Chhattisgarh,September,2020,296.7,7.64,9.46,9.79,400,24.48,high,67.56,Dysentery
Karnataka,September,2022,259.5,5.97,12.63,9.66,370,24.6,high,74.86,Dysentery
Uttar Pradesh,March,2022,59.1,7.07,8.89,6.53,163,28.63,moderate,46.45,Dysentery
Manipur,April,2023,31.1,7.27,7.48,5.08,102,29.02,moderate,46.97,None
Maharashtra,April,2023,0.0,7.29,5.75,6.39,78,30.5,moderate,35.5,None
Arunachal Pradesh,July,2021,235.2,6.78,11.71,9.03,288,20.55,high,54.7,None
Sikkim,December,2021,196.2,7.01,5.58,8.8,98,20.27,low,21.2,None
West Bengal,January,2021,28.0,7.64,1.0,8.02,185,17.46,moderate,26.9,None
Telangana,March,2020,40.2,7.86,4.79,4.41,94,21.21,moderate,46.14,None
Punjab,December,2024,109.5,8.27,1.75,7.95,95,22.11,moderate,27.0,Giardiasis
Sikkim,April,2023,21.3,7.83,0.5,5.67,84,29.31,moderate,34.01,None
